buken_id,物件名,仮称,住所,分類,住戸数,事業主,管理会社,竣工年,竣工月,共用部1,共用部2,専有部1,専有部2,専有部3,専有部opt1,専有部opt2,専有部opt3,ハンドル,ハンドルカラー,シリンダー区分,錠ケース,装置加算額有無,シリンダーカラー,扉厚,ピッチ,備芯,官民仕様,ロック数,キーチェンジ,塩害地加算
7726,サンリーノ北浦和グラン,改修テブラX【太陽生命北浦和寮　改修】,埼玉県さいたま市浦和区北浦和5丁目16-22,分譲,13,サンヨーホームズ株式会社,サンヨーホームズコミュニティ株式会社,2026年,3月,Tebra pass A,,Tebra X2,,,,,,LC40,ステンレスヘアライン SH,F22,CD,有り,SH,40,未選択,,官民無し,1,,
7714,クレヴィア両国レジデンス,両国緑１丁目計画　,東京都墨田区緑１丁目７（以下未定）,分譲,26,伊藤忠都市開発株式会社,,2026年,7月,Tebra pass F,,なし,,,,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,上部官民,2,,
7711,アルファステイツ名取大手町,,宮城県名取市大手町４－１１,分譲,69, 穴吹興産株式会社,,2026年,9月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7710,セリュークス横濱阪東橋,阪東橋プロジェクト,神奈川県横浜市南区白妙町３丁目３９番,賃貸,30,株式会社ニッテイライフ,,2026年,2月,なし,,なし,,,,,,LC40,ステンレスヘアライン SH,F22,CD,有り,SH,40,未選択,,官民無し,2,,
7709,藤和芦屋川ホームズ,,兵庫県芦屋市月若７－１７,改修,23,管理組合,,2026年,3月,Tebra one A,,Tebra cell connect ライト,,,,,,PJ410,塗装ブラック BK,F22,PJ,有り,BK,36,未選択,,官民無し,2,,
7708,アルファスマート松前公園,アルファスマート松前公園　新築工事,愛媛県伊予郡松前町大字筒井字上又984番、955番5,分譲,62,穴吹興産株式会社,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,標準,,官民無し,2,,
7704,サンクレイドル岸和田春木,,大阪府岸和田市春木若松町３３３番２,分譲,69,株式会社アーネストワン,,2026年,4月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
7700,ルネサンスコート入谷Ⅵ,ルネサンスコート入谷Ⅵ,東京都台東区千束２－２３,賃貸,98,株式会社新日本建物,,2026年,6月,Tebra pass F,,,,,,,,PP300,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
7699,Brillia 二番町,麹町山王マンション建替え計画,東京都千代田区二番町１１－１０,分譲,104,東京建物,,2026年,6月,Tebra pass A,,Tebra A,,,,,,他社,,F22,CD,有り,BK,40,未選択,,上部官民,2,,
7698,ブランズ巣鴨三丁目,豊島区巣鴨三丁目計画,東京都豊島区巣鴨三丁目４番,分譲,29,東急不動産株式会社,,2026年,7月,Tebra pass A,,Tebra cell connect ライト,,,,,,PNA331,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
